0.005,111.6
0.01,80.3
0.015,82.9
0.02,83.6
0.025,78.6
0.03,77.5
0.035,79.8
0.04,79.8
0.045,80.0
0.05,80.2
0.055,80.1
0.06,79.9
0.065,86.2
0.07,79.8
0.075,80.4
0.08,77.3
0.085,76.3
0.09,77.4
0.095,79.3
0.1,77.9
0.105,77.8
0.11,77.3
0.115,76.3
0.12,76.2
0.125,76.4
0.13,77.6
0.135,77.9
0.14,78.2
0.145,78.6
0.15,76.8
0.155,78.1
0.16,76.5
0.165,75.9
0.17,81.1
0.175,79.1
0.18,77.2
0.185,77.2
0.19,76.6
0.195,79.2
0.2,76.7
0.205,76.8
0.21,78.7
0.215,79.0
0.22,81.6
0.225,78.4
0.23,77.3
0.235,77.2
0.24,76.2
0.245,77.1
0.25,79.9
