0.005,120.2
0.01,93.1
0.015,95.0
0.02,90.2
0.025,82.4
0.03,82.9
0.035,84.6
0.04,80.7
0.045,89.9
0.05,85.6
0.055,83.9
0.06,78.8
0.065,89.4
0.07,80.1
0.075,80.2
0.08,77.2
0.085,77.7
0.09,77.8
0.095,77.9
0.1,79.3
0.105,78.6
0.11,78.2
0.115,79.6
0.12,79.9
0.125,81.4
0.13,79.0
0.135,78.8
0.14,81.6
0.145,77.3
0.15,84.5
0.155,81.2
0.16,78.0
0.165,77.7
0.17,79.0
0.175,80.9
0.18,79.8
0.185,80.3
0.19,76.3
0.195,79.7
0.2,87.0
0.205,82.8
0.21,80.5
0.215,78.9
0.22,78.9
0.225,76.6
0.23,78.8
0.235,76.5
0.24,76.4
0.245,80.3
0.25,81.1
